Date,Open,High,Low,Close,Adj Close,Volume
2018-06-25,24463.730469,24463.730469,24084.390625,24252.800781,24252.800781,4391300
2018-06-26,24281.890625,24384.210938,24241.220703,24283.109375,24283.109375,3011300
2018-06-27,24303.109375,24569.019531,24115.820313,24117.589844,24117.589844,3137900
2018-06-28,24064.189453,24308.160156,23997.210938,24216.050781,24216.050781,3050200
2018-06-29,24323.929688,24509.519531,24269.710938,24271.410156,24271.410156,3290700
2018-07-02,24161.529297,24319.419922,24077.560547,24307.179688,24307.179688,2441100
2018-07-03,24359.390625,24444.880859,24150.849609,24174.820313,24174.820313,1609600
2018-07-05,24285.820313,24372.800781,24177.439453,24356.740234,24356.740234,2376700
2018-07-06,24352.470703,24520.289063,24281.470703,24456.480469,24456.480469,2194500
2018-07-09,24519.199219,24796.519531,24518.429688,24776.589844,24776.589844,2405800
2018-07-10,24806.970703,24945.380859,24806.970703,24919.660156,24919.660156,2350400
2018-07-11,24789.480469,24815.160156,24663.820313,24700.449219,24700.449219,2373700
2018-07-12,24802.900391,24939.970703,24802.900391,24924.890625,24924.890625,2331500
2018-07-13,24926.070313,25043.210938,24890.060547,25019.410156,25019.410156,2555200
2018-07-16,25025.580078,25072.410156,24979.640625,25064.359375,25064.359375,2312700
2018-07-17,25033.919922,25155.390625,24989.609375,25119.890625,25119.890625,2504500
2018-07-18,25133.789063,25215.320313,25101.119141,25199.289063,25199.289063,2528700
2018-07-19,25139.150391,25154.169922,25052.619141,25064.500000,25064.500000,2857600
2018-07-20,25041.140625,25124.099609,24986.349609,25058.119141,25058.119141,2740800
2018-07-23,25036.900391,25081.449219,24983.330078,25044.289063,25044.289063,2288200
2018-07-24,25092.429688,25286.619141,25092.429688,25241.939453,25241.939453,2749400
2018-07-25,25183.699219,25432.869141,25113.550781,25414.099609,25414.099609,2736700
2018-07-26,25468.550781,25587.240234,25463.160156,25527.070313,25527.070313,2975300
2018-07-27,25520.519531,25580.220703,25370.070313,25451.060547,25451.060547,3296800
2018-07-30,25439.320313,25500.160156,25287.380859,25306.830078,25306.830078,2968800
2018-07-31,25345.210938,25490.980469,25345.210938,25415.189453,25415.189453,3487000
2018-08-01,25461.630859,25488.800781,25278.320313,25333.820313,25333.820313,3158800
2018-08-02,25256.449219,25360.480469,25120.070313,25326.160156,25326.160156,3077000
2018-08-03,25360.369141,25467.900391,25325.169922,25462.580078,25462.580078,2390200
2018-08-06,25437.429688,25540.019531,25381.380859,25502.179688,25502.179688,2389900
2018-08-07,25551.650391,25692.720703,25551.650391,25628.910156,25628.910156,2399100
2018-08-08,25615.720703,25634.109375,25557.480469,25583.750000,25583.750000,2177700
2018-08-09,25589.789063,25613.310547,25492.689453,25509.230469,25509.230469,2149700
2018-08-10,25401.189453,25401.189453,25222.880859,25313.140625,25313.140625,2344800
2018-08-13,25327.189453,25381.390625,25153.929688,25187.699219,25187.699219,2199900
2018-08-14,25215.689453,25339.509766,25201.869141,25299.919922,25299.919922,2192100
2018-08-15,25235.369141,25235.369141,24965.769531,25162.410156,25162.410156,2958100
2018-08-16,25294.970703,25607.339844,25294.970703,25558.730469,25558.730469,3424300
2018-08-17,25550.800781,25728.160156,25521.660156,25669.320313,25669.320313,2841600
2018-08-20,25727.699219,25790.169922,25716.410156,25758.689453,25758.689453,2485700
2018-08-21,25786.990234,25888.820313,25784.900391,25822.289063,25822.289063,2416200
2018-08-22,25825.060547,25836.160156,25722.429688,25733.599609,25733.599609,2004800
2018-08-23,25714.859375,25762.560547,25608.019531,25656.980469,25656.980469,2132700
2018-08-24,25688.580078,25826.050781,25688.580078,25790.349609,25790.349609,2003300
2018-08-27,25882.710938,26067.570313,25882.710938,26049.640625,26049.640625,2205100
2018-08-28,26092.699219,26122.240234,26037.849609,26064.019531,26064.019531,2114700
2018-08-29,26082.529297,26167.939453,26035.300781,26124.570313,26124.570313,2149600
2018-08-30,26099.009766,26104.369141,25934.800781,25986.919922,25986.919922,2404400
2018-08-31,25964.849609,26028.830078,25879.769531,25964.820313,25964.820313,2734400
2018-09-04,25916.070313,25971.769531,25805.949219,25952.480469,25952.480469,2546000
2018-09-05,25919.839844,26011.220703,25871.039063,25974.990234,25974.990234,2892100
2018-09-06,25973.019531,26073.679688,25880.839844,25995.869141,25995.869141,2623800
2018-09-07,25951.019531,26002.990234,25818.390625,25916.539063,25916.539063,2813500
2018-09-10,25991.910156,26039.960938,25854.130859,25857.070313,25857.070313,2521700
2018-09-11,25841.140625,26019.919922,25754.320313,25971.060547,25971.060547,2659600
2018-09-12,25989.070313,26145.720703,25929.429688,25998.919922,25998.919922,2827700
2018-09-13,26083.939453,26191.640625,26067.080078,26145.990234,26145.990234,2608000
2018-09-14,26169.560547,26211.109375,26068.289063,26154.669922,26154.669922,2286400
2018-09-17,26151.660156,26184.470703,26030.349609,26062.119141,26062.119141,2302300
2018-09-18,26076.210938,26317.339844,26076.210938,26246.960938,26246.960938,2430000
2018-09-19,26287.839844,26464.410156,26280.759766,26405.759766,26405.759766,2513300
2018-09-20,26519.390625,26697.490234,26519.390625,26656.980469,26656.980469,2604800
2018-09-21,26726.250000,26769.160156,26680.369141,26743.500000,26743.500000,6576200
2018-09-24,26705.250000,26709.939453,26548.679688,26562.050781,26562.050781,2548500
2018-09-25,26601.580078,26634.849609,26475.580078,26492.210938,26492.210938,2341100
2018-09-26,26536.859375,26606.089844,26349.339844,26385.279297,26385.279297,2626200
2018-09-27,26418.269531,26557.009766,26379.949219,26439.929688,26439.929688,2263500
2018-09-28,26407.660156,26515.759766,26383.570313,26458.310547,26458.310547,2640300
2018-10-01,26598.359375,26737.980469,26596.050781,26651.210938,26651.210938,2383200
2018-10-02,26648.910156,26824.779297,26627.660156,26773.939453,26773.939453,2582900
2018-10-03,26833.470703,26951.810547,26789.080078,26828.390625,26828.390625,2801300
2018-10-04,26784.080078,26793.820313,26471.609375,26627.480469,26627.480469,2896000
2018-10-05,26632.769531,26676.160156,26301.810547,26447.050781,26447.050781,2671000
2018-10-08,26399.449219,26529.349609,26223.089844,26486.779297,26486.779297,2730200
2018-10-09,26469.189453,26539.939453,26324.160156,26430.570313,26430.570313,2825600
2018-10-10,26441.730469,26487.869141,25567.099609,25598.740234,25598.740234,4382000
2018-10-11,25518.390625,25683.640625,24899.769531,25052.830078,25052.830078,5228800
2018-10-12,25407.630859,25467.550781,25000.830078,25339.990234,25339.990234,3975100
2018-10-15,25332.460938,25482.419922,25243.880859,25250.550781,25250.550781,2873200
2018-10-16,25351.529297,25817.679688,25351.529297,25798.419922,25798.419922,3058000
2018-10-17,25705.869141,25810.089844,25479.160156,25706.679688,25706.679688,2982100
2018-10-18,25645.560547,25691.460938,25236.009766,25379.449219,25379.449219,3280200
2018-10-19,25421.089844,25608.710938,25350.019531,25444.339844,25444.339844,3508100
2018-10-22,25492.140625,25561.339844,25236.050781,25317.410156,25317.410156,3149400
2018-10-23,25038.460938,25307.699219,24768.789063,25191.429688,25191.429688,4364300
